;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
686430;08/16/2016;Debt collection;Other (i.e. phone, health club, etc.);Fidelity Capital Holdings, Inc.;GA;Web;No;No
686440;08/18/2016;Debt collection;Credit card;Wells Fargo & Company;CA;Web;Yes;No
686569;08/08/2016;Debt collection;Auto;Ally Financial Inc.;VA;Web;Yes;No
686586;10/14/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;MI;Web;Yes;Yes
686666;09/01/2016;Debt collection;I do not know;Arnold Scott Harris, P.C.;IL;Web;Yes;No
686671;07/13/2016;Debt collection;Credit card;Citibank;CA;Web;Yes;No
686766;08/23/2016;Debt collection;I do not know;First National Collection Bureau, Inc.;AZ;Web;Yes;No
686771;08/11/2016;Debt collection;Other (i.e. phone, health club, etc.);Synchrony Financial;CA;Web;Yes;No
687152;08/24/2016;Debt collection;Credit card;Mandarich Law Group, LLP;CA;Web;Yes;No
687245;09/02/2016;Debt collection;Other (i.e. phone, health club, etc.);ProCollect, Inc;TX;Web;Yes;No
687286;08/29/2016;Debt collection;Other (i.e. phone, health club, etc.);ProCollect, Inc;TX;Web;Yes;No
687549;08/19/2016;Debt collection;I do not know;TCF National Bank;PA;Web;Yes;No
687558;10/27/2016;Debt collection;Other (i.e. phone, health club, etc.);Kenneth E. Davidson, Attorney;CO;Web;Yes;Yes
687586;09/22/2016;Student loan;Federal student loan servicing;Great Lakes;SC;Web;Yes;Yes
687720;08/28/2016;Debt collection;Medical;I.C. System, Inc.;MD;Web;Yes;No
687798;09/14/2016;Student loan;Non-federal student loan;Sallie Mae;AL;Web;Yes;Yes
687917;08/24/2016;Debt collection;Credit card;Citibank;CA;Web;Yes;No
687964;08/09/2016;Debt collection;Other (i.e. phone, health club, etc.);Support Collectors, Inc.;MN;Web;No;No
687997;08/24/2016;Debt collection;Credit card;Wells Fargo & Company;CA;Web;Yes;No
688046;08/29/2016;Debt collection;Credit card;Citibank;TX;Web;Yes;No
688057;08/29/2016;Debt collection;I do not know;HCFS Health Care Financial Services, Inc.;FL;Web;Yes;No
688134;08/25/2016;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;GA;Web;Yes;No
688176;09/06/2016;Debt collection;Other (i.e. phone, health club, etc.);Arcadia Holdings, LLC;PA;Web;Yes;No
688523;08/26/2016;Debt collection;Other (i.e. phone, health club, etc.);WAKEFIELD & ASSOCIATES, INC.;CT;Web;Yes;No
688524;08/22/2016;Debt collection;Other (i.e. phone, health club, etc.);Meridian Financial Services, Inc.;MO;Web;Yes;No
688682;08/19/2016;Debt collection;Credit card;Citibank;PA;Web;Yes;No
688714;08/25/2016;Debt collection;I do not know;Direct Capital;OR;Web;Yes;No
688821;08/11/2016;Debt collection;Mortgage;Wells Fargo & Company;CA;Web;Yes;No
688832;08/15/2016;Debt collection;Other (i.e. phone, health club, etc.);Coastline Financial Resources, LLC;KY;Web;No;No
689074;07/16/2016;Debt collection;Auto;Linebarger Goggan Blair & Sampson, LLP;WA;Web;Yes;No
689312;08/11/2016;Debt collection;I do not know;Delta Management Associates, Inc.;NC;Web;Yes;No
689469;08/28/2016;Debt collection;I do not know;Citibank;FL;Web;Yes;No
689476;08/24/2016;Debt collection;Federal student loan;Financial Asset Management Systems, Inc.;FL;Web;Yes;No
689664;08/09/2016;Debt collection;Credit card;Citibank;TX;Web;Yes;No
689787;08/28/2016;Debt collection;Credit card;Citibank;CA;Web;Yes;No
689860;08/25/2016;Payday loan;Payday loan;Enova International, Inc.;ID;Web;Yes;No
689965;08/24/2016;Debt collection;Medical;United Consumers Inc;DC;Web;Yes;No
689975;08/25/2016;Debt collection;I do not know;Malen & Associates, p.c.;NY;Web;Yes;No
690389;08/05/2016;Student loan;Non-federal student loan;Navy FCU;LA;Web;Yes;No
690471;10/21/2016;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;WA;Web;Yes;Yes
690860;07/28/2016;Debt collection;I do not know;Receivables Performance Management LLC;CA;Web;Yes;No
690868;09/26/2016;Debt collection;Other (i.e. phone, health club, etc.);Credence Resource Management, LLC;NY;Web;Yes;Yes
690900;10/28/2016;Debt collection;Other (i.e. phone, health club, etc.);Duncan Solutions, lnc.;MD;Web;Yes;Yes
690955;10/19/2016;Student loan;Non-federal student loan;ECMC Group, Inc.;CA;Web;Yes;Yes
690966;08/07/2016;Debt collection;Payday loan;JH Portfolio Debt Equities, LLC;CA;Web;Yes;No
691238;08/25/2016;Debt collection;Other (i.e. phone, health club, etc.);Applied Business Services, Inc.;OR;Web;Yes;No
691556;08/31/2016;Debt collection;Medical;The Receivable Management Services Corporation;NY;Web;Yes;No
691614;09/02/2016;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;AL;Web;Yes;No
691765;09/01/2016;Debt collection;Other (i.e. phone, health club, etc.);Valentine and Kebartas, Inc.;PA;Web;Yes;No
691922;09/01/2016;Debt collection;Other (i.e. phone, health club, etc.);Cohen, Roberts & Associates, LLC;MD;Web;Yes;No
692290;08/30/2016;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;CA;Web;Yes;No
692545;08/30/2016;Debt collection;Other (i.e. phone, health club, etc.);Professional Recovery Management;TX;Web;Yes;No
692599;08/16/2016;Debt collection;Medical;Renton Collections Inc.;MN;Web;No;No
692662;08/19/2016;Debt collection;Credit card;Bank of America;TN;Web;Yes;No
692975;09/13/2016;Debt collection;Medical;WAKEFIELD & ASSOCIATES, INC.;CO;Web;Yes;No
693108;09/15/2016;Debt collection;Medical;Debt Recovery Solutions, LLC;MD;Web;Yes;No
693261;08/10/2016;Debt collection;I do not know;F.H. Cann & Associates, Inc.;IN;Web;Yes;No
693278;08/15/2016;Debt collection;I do not know;Alliance Collection Agencies, Inc.;WI;Web;Yes;No
693396;07/18/2016;Debt collection;Other (i.e. phone, health club, etc.);Diversified Adjustment Service, Inc.;TX;Web;Yes;No
693398;08/06/2016;Debt collection;Credit card;Mandarich Law Group, LLP;OR;Web;Yes;No
693455;09/13/2016;Debt collection;Other (i.e. phone, health club, etc.);GLA Collection Company, Inc.;KY;Web;Yes;No
693491;08/31/2016;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;CA;Web;Yes;No
693509;08/25/2016;Debt collection;Other (i.e. phone, health club, etc.);Account Control Services, Inc;OR;Web;No;No
693572;10/31/2016;Debt collection;Medical;Collections Acquisition Company, Inc.;SC;Web;Yes;Yes
693623;08/31/2016;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;TX;Web;Yes;No
693641;09/15/2016;Debt collection;Medical;AmeriCollect;WI;Web;Yes;No
693656;08/29/2016;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;VA;Web;Yes;No
693763;09/08/2016;Student loan;Federal student loan servicing;MOHELA;CA;Web;Yes;No
693803;09/03/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Bureau of Traverse City, Inc.(Closed);MI;Web;No;No
694111;08/06/2016;Debt collection;I do not know;Arnold Scott Harris, P.C.;IL;Web;Yes;No
694166;09/02/2016;Debt collection;Other (i.e. phone, health club, etc.);Allied Interstate LLC;IL;Web;Yes;No
694207;04/05/2016;Debt collection;Medical;Credit Counsel, Inc.;GA;Web;Yes;No
694632;08/26/2016;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;WI;Web;Yes;No
695017;09/13/2016;Debt collection;I do not know;Harris & Harris, Ltd.;AZ;Web;Yes;No
695235;11/07/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;TX;Web;Yes;Yes
695317;09/14/2016;Debt collection;Medical;Credence Resource Management, LLC;GA;Web;Yes;Yes
695338;11/03/2016;Debt collection;I do not know;Stellar Recovery Inc.;AZ;Web;Yes;Yes
